,gene_ID,count,mean,std,p_val,p_corr
0,ECB_03213,4.0,6.394721350977252e-07,6.337370091267907e-07,0.002,1.0
1,ECB_02438,5.0,4.922823315167665e-07,3.814166966351426e-07,0.01,1.0
2,ECB_02112,4.0,4.883398639639222e-07,2.8406015996929137e-07,0.01,1.0
3,ECB_00878,4.0,4.554592116074793e-07,7.278347538431181e-07,0.022,1.0
4,ECB_00267,5.0,4.489135685638546e-07,3.2023750083829554e-07,0.006,1.0
5,ECB_03112,5.0,4.3095095668580616e-07,3.018801537484573e-07,0.01,1.0
6,ECB_01702,5.0,4.101131191370238e-07,3.4161534178035954e-07,0.024,1.0
7,ECB_00883,6.0,4.0534877689205224e-07,3.9270718196377115e-07,0.014,1.0
8,ECB_02708,5.0,4.038011415199668e-07,3.9791444202430324e-07,0.032,1.0
9,ECB_02521,22.0,3.9532589130948207e-07,3.1023239604803667e-07,0.0,0.0
10,ECB_01726,6.0,3.907110627933987e-07,3.1317650126550143e-07,0.026,1.0
11,ECB_00706,5.0,3.791798451268847e-07,1.63401178472943e-07,0.038,1.0
12,ECB_02187,4.0,3.7597303166257276e-07,2.2528045191325526e-07,0.06,1.0
13,ECB_01320,4.0,3.635497180356889e-07,2.3952866905913504e-07,0.04,1.0
14,ECB_02955,5.0,3.5730248337813685e-07,1.3489221718865696e-07,0.044,1.0
15,ECB_04079,5.0,3.5555538940231544e-07,2.893515129876205e-07,0.04,1.0
16,ECB_03254,5.0,3.552010002337836e-07,3.260517373057162e-07,0.042,1.0
17,ECB_03978,5.0,3.517098847596898e-07,3.8277371910587194e-07,0.038,1.0
18,ECB_02717,7.0,3.4558335260564183e-07,2.1645175716228805e-07,0.036,1.0
19,ECB_02542,5.0,3.438820859711178e-07,3.740530187107924e-07,0.054,1.0
20,ECB_02550,6.0,3.424141284824909e-07,2.3378453977408122e-07,0.054,1.0
21,ECB_00781,5.0,3.404719728793577e-07,8.851629957436041e-08,0.076,1.0
22,ECB_03401,9.0,3.360048891763843e-07,3.4457809801287756e-07,0.038,1.0
23,ECB_04183,15.0,3.356844474951318e-07,4.254870063914094e-07,0.016,1.0
24,ECB_01110,6.0,3.3501848366847284e-07,3.2509822201358146e-07,0.048,1.0
25,ECB_02517,11.0,3.3396134204798373e-07,2.497416963075936e-07,0.022,1.0
26,ECB_02126,4.0,3.316989856410976e-07,2.387206393390473e-07,0.08,1.0
27,ECB_04191,7.0,3.3031411761024224e-07,3.392641273994694e-07,0.044,1.0
28,ECB_03691,5.0,3.274456658232398e-07,2.6222667111531563e-07,0.08,1.0
29,ECB_02587,4.0,3.2707291499502666e-07,3.838543926473504e-07,0.068,1.0
30,ECB_01374,7.0,3.2649408430184183e-07,2.579640498555504e-07,0.06,1.0
31,ECB_02227,8.0,3.2570542793355e-07,2.4498505921836975e-07,0.034,1.0
32,ECB_00429,8.0,3.253547319717759e-07,3.4233918838837366e-07,0.058,1.0
33,ECB_02559,12.0,3.214956254968805e-07,2.1756729292395408e-07,0.018,1.0
34,ECB_00986,4.0,3.1888784809287266e-07,2.8053711423371233e-07,0.096,1.0
