,gene_ID,count,mean,std,p_val,p_corr
0,ECB_00941,5.0,1.1609007169558983e-06,9.5758222452768e-07,0.004,1.0
1,ECB_02357,4.0,1.0606543962116583e-06,4.412498418218901e-07,0.012,1.0
2,ECB_00151,7.0,9.6671161329056e-07,1.045842510880207e-06,0.014,1.0
3,ECB_01231,5.0,9.508425114255709e-07,9.467675412105448e-07,0.036,1.0
4,ECB_01937,6.0,9.243276470412669e-07,3.617068355382994e-07,0.008,1.0
5,ECB_00855,4.0,9.170127571190836e-07,7.111010522908808e-07,0.038,1.0
6,ECB_02227,8.0,9.027816924079288e-07,6.309086332812135e-07,0.01,1.0
7,ECB_03550,6.0,8.903775812300685e-07,6.987427809531952e-07,0.028,1.0
8,ECB_03877,5.0,8.774337934646996e-07,7.78978623167599e-07,0.02,1.0
9,ECB_00583,6.0,8.699201756891914e-07,7.878326942596725e-07,0.016,1.0
10,ECB_02505,8.0,8.645939127164607e-07,4.720705388642702e-07,0.014,1.0
11,ECB_00938,4.0,8.294219745910851e-07,5.576600977673831e-07,0.058,1.0
12,ECB_02259,5.0,8.283074313464596e-07,6.657694100051847e-07,0.036,1.0
13,ECB_00413,6.0,8.207584901829838e-07,8.782867060110253e-07,0.042,1.0
14,ECB_02268,9.0,8.195134637331465e-07,7.127309102192207e-07,0.024,1.0
15,ECB_00367,4.0,8.106039471310244e-07,7.318735797605151e-07,0.062,1.0
16,ECB_01173,4.0,8.102908717667098e-07,9.448576431133556e-07,0.056,1.0
17,ECB_03875,4.0,8.09361867155224e-07,3.2026689645164047e-07,0.076,1.0
18,ECB_01209,9.0,8.056852899655065e-07,6.103314955047284e-07,0.018,1.0
19,ECB_03990,5.0,7.985679918267093e-07,7.50097130884546e-07,0.05,1.0
20,ECB_00790,8.0,7.975017271596222e-07,6.102817618363871e-07,0.042,1.0
21,ECB_03334,10.0,7.946770582099806e-07,5.62111090598501e-07,0.02,1.0
22,ECB_00316,6.0,7.940306600972073e-07,5.771226523071424e-07,0.046,1.0
23,ECB_01393,9.0,7.913100537676714e-07,7.198629962716237e-07,0.02,1.0
24,ECB_01747,8.0,7.911085662638462e-07,5.357977154636712e-07,0.018,1.0
25,ECB_01351,5.0,7.796675390748189e-07,4.1865158609453045e-07,0.062,1.0
26,ECB_00997,4.0,7.765248935527349e-07,9.23223110867797e-07,0.068,1.0
27,ECB_01514,7.0,7.701375356669256e-07,9.448489698497299e-07,0.058,1.0
28,ECB_01858,6.0,7.699610756872993e-07,5.876768854793754e-07,0.054,1.0
29,ECB_00581,7.0,7.67674524220691e-07,5.641786750136135e-07,0.034,1.0
30,ECB_02611,5.0,7.664099409294666e-07,2.2265803671283186e-07,0.064,1.0
31,ECB_01355,7.0,7.65393819809732e-07,4.830443336813456e-07,0.068,1.0
32,ECB_00981,5.0,7.593753814167532e-07,5.019030911890201e-07,0.078,1.0
33,ECB_00775,6.0,7.57286575132484e-07,9.162048288318129e-07,0.06,1.0
34,ECB_02974,19.0,7.548906316099591e-07,4.744149059484595e-07,0.014,1.0
35,ECB_00317,4.0,7.520972670410842e-07,7.477903332136738e-07,0.094,1.0
36,ECB_01629,4.0,7.506050621316174e-07,1.004311504290702e-06,0.064,1.0
37,ECB_01627,6.0,7.499320867694818e-07,6.20103778018142e-07,0.072,1.0
38,ECB_03595,7.0,7.487298779583495e-07,7.41903497119938e-07,0.054,1.0
39,ECB_00306,5.0,7.462004370995562e-07,5.444826759248116e-07,0.086,1.0
40,ECB_03982,12.0,7.446058750488774e-07,6.05188614113926e-07,0.024,1.0
41,ECB_02520,18.0,7.371988135766799e-07,5.879607783477526e-07,0.016,1.0
42,ECB_03327,9.0,7.349438796892955e-07,5.320948875156336e-07,0.04,1.0
43,ECB_01387,9.0,7.347423440987545e-07,6.64558122157866e-07,0.036,1.0
44,ECB_02187,6.0,7.344257859816544e-07,5.402223955956284e-07,0.08,1.0
45,ECB_02644,8.0,7.256629930381081e-07,8.256371165213201e-07,0.06,1.0
46,ECB_03397,4.0,7.248600306558973e-07,7.570228896719784e-07,0.126,1.0
47,ECB_02556,4.0,7.238433328529432e-07,7.816480618794167e-07,0.096,1.0
48,ECB_02293,6.0,7.237908220242254e-07,7.305082694493761e-07,0.08,1.0
49,ECB_00946,5.0,7.228188856927284e-07,3.392821774320381e-07,0.094,1.0
50,ECB_03304,4.0,7.195526985331149e-07,7.192042153523086e-07,0.11,1.0
51,ECB_03141,7.0,7.164436005999681e-07,6.223267602517972e-07,0.09,1.0
52,ECB_02595,6.0,7.125775728770071e-07,7.416116571147922e-07,0.09,1.0
53,ECB_02861,20.0,7.118437711361715e-07,4.3220731010476947e-07,0.034,1.0
54,ECB_02684,16.0,7.080720709235275e-07,6.27204077805241e-07,0.018,1.0
55,ECB_03369,10.0,7.058585937597192e-07,4.3734113517686404e-07,0.05,1.0
56,ECB_01119,15.0,7.032933082014842e-07,5.742198592797938e-07,0.016,1.0
57,ECB_02439,5.0,6.997419066665168e-07,4.2422356694420477e-07,0.094,1.0
58,ECB_00401,9.0,6.960949779931866e-07,5.743669033354539e-07,0.064,1.0
59,ECB_03675,4.0,6.959408673000586e-07,7.761283131654345e-07,0.124,1.0
60,ECB_04077,5.0,6.957672951665157e-07,4.147137848506807e-07,0.114,1.0
61,ECB_01592,5.0,6.900601104480793e-07,7.744800972637775e-07,0.082,1.0
62,ECB_03504,16.0,6.886389776050091e-07,5.236995949093253e-07,0.024,1.0
63,ECB_00898,4.0,6.884694511293096e-07,5.670334114633405e-07,0.122,1.0
