,Unnamed: 0,Unnamed: 0.1,gene_ID,type,gene_symbol,start,stop,description,pos,pathway,"L: L, Mono","D: L, S in maj 1","FL: L, Eco Eq 1","Q: L, Glu exp","WL: L, S in maj 2","Y: L, Eco Eq 2","T: R, Glu Exp","H: L, Ac exp","FS: S, Eco Eq 1"
0,0,0,ECB_00001,cds,thrL,190,255,thr operon leader peptide,222.5,,,,,,,,,,
1,1,1,ECB_00002,cds,thrA,336,2798,bifunctional aspartokinase I/homeserine dehydrogenase I,1567.0,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00261': 'Monobactam biosynthesis', 'ebr00270': 'Cysteine and methionine metabolism', 'ebr00300': 'Lysine biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,,,,
2,2,2,ECB_00003,cds,thrB,2800,3732,homoserine kinase,3266.0,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,,,,
3,3,3,ECB_00004,cds,thrC,3733,5019,threonine synthase,4376.0,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00750': 'Vitamin B6 metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,,,,
4,4,4,ECB_00005,cds,yaaX,5232,5528,hypothetical protein,5380.0,,0.008080650957305209,,,,,,0.011565298357059934,-0.0029172848832823687,
5,5,5,ECB_00006,cds,yaaA,5681,6457,hypothetical protein,6069.0,,-0.018010765711378503,,,0.006122620191813888,,-0.014075133955180594,-0.0049776085238934535,,0.003042583189335838
6,6,6,ECB_00007,cds,yaaJ,6527,7957,predicted transporter,7242.0,,-0.0042298092681323845,0.012731929508621906,-0.012188534885883576,-0.005224586821551698,0.0065016978096507074,0.0059000912641793395,0.0016734441318663473,-0.004049344636933978,-0.008430280007909746
7,7,7,ECB_00008,cds,talB,8236,9189,transaldolase B,8712.5,"{'ebr00030': 'Pentose phosphate pathway', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism', 'ebr01230': 'Biosynthesis of amino acids'}",-0.009867294864472076,,,-0.07290186983425291,,,0.1077852384727273,0.03379569026640256,-0.03169018246621523
8,8,8,ECB_00009,cds,mogA,9304,9891,molybdenum cofactor biosynthesis protein,9597.5,"{'ebr00790': 'Folate biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors', 'ebr04122': 'Sulfur relay system'}",,,,,,,-0.027251031420735934,,
9,9,9,ECB_00010,cds,yaaH,9926,10492,conserved inner membrane protein associated with acetate transport,10209.0,,-0.0019215763781769192,,-0.0004113250247968491,0.004556886720314809,,0.005796032725257823,0.004790276320456031,0.004404232725807772,-0.002445970920727622
10,10,10,ECB_00011,cds,yaaW,10641,11354,hypothetical protein,10997.5,,,,,,-0.005485710462879643,,-0.019344732237744054,,-0.0017685831966949585
11,11,11,ECB_00012,cds,htgA,10828,11313,hypothetical protein,11070.5,,,,,,-0.004591149204999859,,-0.03187903296090179,,-0.00023182433390968419
12,12,12,ECB_00013,cds,yaaI,11380,11784,hypothetical protein,11582.0,,0.0003103950454486272,0.03210860313446245,-0.004936892324986976,-0.005375185084115386,-0.004724595797928436,-0.009088823892913059,-0.019199961262234288,0.0039037027488391016,-0.00187515179574035
13,13,13,ECB_00014,cds,dnaK,12161,14077,molecular chaperone DnaK,13119.0,{'ebr03018': 'RNA degradation'},,,,,,,,,
14,14,14,EBG00001040642,ncrna,tpke11,14088,14165,,14126.5,,,,,,,,,,
15,15,15,ECB_00015,cds,dnaJ,14166,15296,"chaperone Hsp40, co-chaperone with DnaK",14731.0,,,,,,,,,,
16,16,16,ECB_00016,cds,insL-1,15443,16555,IS186 hypothetical protein,15999.0,,,,,,,,,,
17,17,17,ECB_00017,cds,mokC,16749,16958,"regulatory protein for HokC, overlaps CDS of hokC",16853.5,,,,,,,,,,
18,18,18,ECB_04280,cds,hokC,16749,16901,small toxic membrane polypeptide,16825.0,,,,,,,,0.01609429720157271,,-0.00540347052219401
19,19,19,EBG00001040548,ncrna,sok,16899,17051,,16975.0,,,,,,,,,,
20,20,20,ECB_00018,cds,nhaA,17488,18654,pH-dependent sodium/proton antiporter,18071.0,,,,,,,,,,
21,21,21,ECB_00019,cds,nhaR,18714,19619,DNA-binding transcriptional activator,19166.5,,-0.004422013738309134,0.00722533350861775,0.00022656663477069522,-0.009737388267471564,-0.0028818311198564486,-0.00556203183800599,-0.004968677412587529,0.00426149008388089,-0.003881618329123025
22,22,25,ECB_00023,cds,insA-1,23346,23621,IS1 protein InsA,23483.5,,,,,,,,,,
23,23,26,ECB_00024,cds,insB-1,23540,24043,IS1 protein InsB,23791.5,,,,,,,,,,
24,24,29,ECB_00027,cds,rpsT,24887,25150,30S ribosomal protein S20,25018.5,{'ebr03010': 'Ribosome'},,,,,,,,,
25,25,30,ECB_00028,cds,yaaY,25253,25471,hypothetical protein,25362.0,,,,,,,,,,-0.018220288766865402
26,26,31,ECB_00029,cds,ribF,25479,26420,putative regulator,25949.5,"{'ebr00740': 'Riboflavin metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
27,27,32,ECB_00030,cds,ileS,26463,29279,isoleucyl-tRNA synthetase,27871.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,,,,
28,28,33,ECB_00031,cds,lspA,29279,29773,signal peptidase II,29526.0,{'ebr03060': 'Protein export'},,,,,,,,,
29,29,34,ECB_00032,cds,fkpB,29898,30347,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),30122.5,,,,,,,,,,
30,30,35,ECB_00033,cds,ispH,30349,31299,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,30824.0,"{'ebr00900': 'Terpenoid backbone biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}",,,,,,,,,
31,31,36,ECB_00034,cds,rihC,31365,32279,ribonucleoside hydrolase 3,31822.0,"{'ebr00240': 'Pyrimidine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}",-0.002159357689710986,-0.0033662942125896713,-0.0059492909841741045,0.002722637792088527,-0.011370485327705859,0.0013048571866552964,-0.008216052415680408,0.003585128175930944,-0.009116761097866272
32,32,37,ECB_00035,cds,dapB,32446,33267,dihydrodipicolinate reductase,32856.5,"{'ebr00261': 'Monobactam biosynthesis', 'ebr00300': 'Lysine biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,,,,
33,33,38,ECB_00036,cds,carA,33722,34870,carbamoyl-phosphate synthase small subunit,34296.0,"{'ebr00240': 'Pyrimidine metabolism', 'ebr00250': 'Alanine, aspartate and glutamate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
34,34,39,ECB_00037,cds,carB,34888,38109,carbamoyl-phosphate synthase large subunit,36498.5,"{'ebr00240': 'Pyrimidine metabolism', 'ebr00250': 'Alanine, aspartate and glutamate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
35,35,40,ECB_00038,cds,caiF,38371,38766,DNA-binding transcriptional activator,38568.5,,-0.0008832880722165188,0.003926721826959589,0.0032366599398064985,-0.0010087373094973696,-0.0007090870684901165,0.00043356968636746847,-0.0083710369165048,0.0012793979554139472,-0.007538660111041538
36,36,41,ECB_00039,cds,caiE,38975,39565,predicted acyl transferase,39270.0,,-0.022196630805705,,,-0.0276096832464596,-0.017849170373074333,0.0005673861242218737,0.014666171235056046,-0.011337456427184287,-0.007790281120379653
37,37,42,ECB_00040,cds,caiD,39571,40464,carnitinyl-CoA dehydratase,40017.5,,-0.0020394548496781803,-0.00019848351596478376,-0.0028102905898429523,0.005055134449467281,-0.006229819213520696,-0.002672297875978286,-0.0013002256052186674,-0.0008446157845180667,-0.009616205059148468
38,38,43,ECB_00041,cds,caiC,40465,42033,crotonobetaine/carnitine-CoA ligase,41249.0,,-0.002286886008770054,0.011814585902840466,-0.002695607068462105,0.00018810754400995733,-0.0027019793076240102,-0.007507163087699604,-0.005777809651744447,-0.008634662313148817,0.0015601817551363683
39,39,44,ECB_00043,cds,caiA,43437,44579,"crotonobetaine reductase subunit II, FAD-binding",44008.0,,-0.003781136535742554,,0.002865301450175729,-0.0032077581978853863,-0.018590502538838774,-0.014580913748017729,0.0174899167591888,0.005942421232858916,0.007152768392400105
