,gene_ID,type,gene_symbol,start,stop,description,pos,pathway,"L: L, Mono","D: L, S in maj 1","FL: L, Eco Eq 1","Q: L, Glu exp","WL: L, S in maj 2","Y: L, Eco Eq 2"
2429,EBG00001040594,ncrna,StyR-44,2650685,2650784,,2650734.5,,,,,,,
2430,ECB_t00045,ncrna,gltW,2650862,2650937,,2650899.5,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,
2431,EBG00001040520,ncrna,tRNA,2650865,2650937,,2650901.0,,,,,,,
2432,ECB_r00006,ncrna,rrsG,2651023,2652564,,2651793.5,{'ebr03010': 'Ribosome'},,,,,,
2433,EBG00001040595,ncrna,SSU_rRNA_archaea,2651025,2652559,,2651792.0,,,,,,,
2434,ECB_02482,cds,clpB,2653008,2655581,protein disaggregation chaperone,2654294.5,,0.00556979409786734,0.0070785209677160675,-0.003900454260508073,,,-0.019790270892295042
2435,ECB_02483,cds,yfiH,2655711,2656442,hypothetical protein,2656076.5,"{'ebr00230': 'Purine metabolism', 'ebr00270': 'Cysteine and methionine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}",,,,,,
2436,ECB_02484,cds,rluD,2656439,2657419,23S rRNA pseudouridine synthase,2656929.0,,,,,,,
2437,ECB_02485,cds,yfiO,2657554,2658291,predicted lipoprotein,2657922.5,,,,,,,
2438,ECB_02486,cds,yfiA,2658562,2658903,cold shock protein associated with 30S ribosomal subunit,2658732.5,,,,,,,
2439,ECB_02487,cds,pheL,2659007,2659054,pheA gene leader peptide,2659030.5,,,,,,,
2440,ECB_02488,cds,pheA,2659152,2660312,fused chorismate mutase P/prephenate dehydratase,2659732.0,"{'ebr00400': 'Phenylalanine, tyrosine and tryptophan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,
2441,ECB_02489,cds,tyrA,2660355,2661476,fused chorismate mutase T/prephenate dehydrogenase,2660915.5,"{'ebr00400': 'Phenylalanine, tyrosine and tryptophan biosynthesis', 'ebr00401': 'Novobiocin biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,
2442,ECB_02490,cds,aroF,2661487,2662557,"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible",2662022.0,"{'ebr00400': 'Phenylalanine, tyrosine and tryptophan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01230': 'Biosynthesis of amino acids', 'ebr02024': 'Quorum sensing'}",-0.07238816712322341,-0.018850281227068916,-0.05582439847073464,-0.030047770591635006,-0.0020672568879722525,-0.0654687890658537
2443,ECB_02491,cds,yfiL,2662767,2663132,hypothetical protein,2662949.5,,-0.00979524593710521,-0.01765108158619403,-0.004824018529782929,-0.010715006361763812,-0.012805765788223743,-0.0067370497359924494
2444,ECB_02492,cds,yfiR,2663282,2663800,hypothetical protein,2663541.0,,-0.010821078961289367,0.0014241412411856221,-0.0132574843688561,-0.0032535331783522295,-0.002040814639538093,-0.01676847416182445
