,gene_ID,type,gene_symbol,start,stop,description,pos,pathway
0,ECB_00001,cds,thrL,190,255,thr operon leader peptide,222.5,
1,ECB_00002,cds,thrA,336,2798,bifunctional aspartokinase I/homeserine dehydrogenase I,1567.0,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00261': 'Monobactam biosynthesis', 'ebr00270': 'Cysteine and methionine metabolism', 'ebr00300': 'Lysine biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01230': 'Biosynthesis of amino acids'}"
2,ECB_00003,cds,thrB,2800,3732,homoserine kinase,3266.0,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01230': 'Biosynthesis of amino acids'}"
3,ECB_00004,cds,thrC,3733,5019,threonine synthase,4376.0,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00750': 'Vitamin B6 metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01230': 'Biosynthesis of amino acids'}"
4,ECB_00005,cds,yaaX,5232,5528,hypothetical protein,5380.0,
5,ECB_00006,cds,yaaA,5681,6457,hypothetical protein,6069.0,
6,ECB_00007,cds,yaaJ,6527,7957,predicted transporter,7242.0,
7,ECB_00008,cds,talB,8236,9189,transaldolase B,8712.5,"{'ebr00030': 'Pentose phosphate pathway', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism', 'ebr01230': 'Biosynthesis of amino acids'}"
8,ECB_00009,cds,mogA,9304,9891,molybdenum cofactor biosynthesis protein,9597.5,"{'ebr00790': 'Folate biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors', 'ebr04122': 'Sulfur relay system'}"
9,ECB_00010,cds,yaaH,9926,10492,conserved inner membrane protein associated with acetate transport,10209.0,
10,ECB_00011,cds,yaaW,10641,11354,hypothetical protein,10997.5,
11,ECB_00012,cds,htgA,10828,11313,hypothetical protein,11070.5,
12,ECB_00013,cds,yaaI,11380,11784,hypothetical protein,11582.0,
13,ECB_00014,cds,dnaK,12161,14077,molecular chaperone DnaK,13119.0,{'ebr03018': 'RNA degradation'}
14,EBG00001040642,ncrna,tpke11,14088,14165,,14126.5,
15,ECB_00015,cds,dnaJ,14166,15296,"chaperone Hsp40, co-chaperone with DnaK",14731.0,
16,ECB_00016,cds,insL-1,15443,16555,IS186 hypothetical protein,15999.0,
17,ECB_00017,cds,mokC,16749,16958,"regulatory protein for HokC, overlaps CDS of hokC",16853.5,
18,ECB_04280,cds,hokC,16749,16901,small toxic membrane polypeptide,16825.0,
19,EBG00001040548,ncrna,sok,16899,17051,,16975.0,
20,ECB_00018,cds,nhaA,17488,18654,pH-dependent sodium/proton antiporter,18071.0,
21,ECB_00019,cds,nhaR,18714,19619,DNA-binding transcriptional activator,19166.5,
25,ECB_00023,cds,insA-1,23346,23621,IS1 protein InsA,23483.5,
26,ECB_00024,cds,insB-1,23540,24043,IS1 protein InsB,23791.5,
